,Unnamed: 0,pokedex_number,name,german_name,japanese_name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
503,503,424,Ambipom,Ambidiffel,エテボース (Eteboth),4,Normal,Long Tail Pokémon,1,Normal,,1.2,20.3,3,Technician,Pickup,Skill Link,482.0,75.0,100.0,66.0,60.0,66.0,115.0,45.0,100.0,169.0,Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
504,504,425,Drifloon,Driftlon,フワンテ (Fuwante),4,Normal,Balloon Pokémon,2,Ghost,Flying,0.4,1.2,3,Aftermath,Unburden,Flare Boost,348.0,90.0,50.0,34.0,60.0,44.0,70.0,125.0,70.0,70.0,Fluctuating,1,Amorphous,,50.0,30.0,0.0,1.0,1.0,2.0,0.5,2.0,0.0,0.5,0.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,1.0,1.0
505,505,426,Drifblim,Drifzepeli,フワライド (Fuwaride),4,Normal,Blimp Pokémon,2,Ghost,Flying,1.2,15.0,3,Aftermath,Unburden,Flare Boost,498.0,150.0,80.0,44.0,90.0,54.0,80.0,60.0,70.0,174.0,Fluctuating,1,Amorphous,,50.0,30.0,0.0,1.0,1.0,2.0,0.5,2.0,0.0,0.5,0.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,1.0,1.0
506,506,427,Buneary,Haspiror,ミミロル (Mimirol),4,Normal,Rabbit Pokémon,1,Normal,,0.4,5.5,3,Run Away,Klutz,Limber,350.0,55.0,66.0,44.0,44.0,56.0,85.0,190.0,0.0,70.0,Medium Fast,2,Field,Human-Like,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
507,507,428,Lopunny,Schlapor,ミミロップ (Mimilop),4,Normal,Rabbit Pokémon,1,Normal,,1.2,33.3,3,Cute Charm,Klutz,Limber,480.0,65.0,76.0,84.0,54.0,96.0,105.0,60.0,140.0,168.0,Medium Fast,2,Field,Human-Like,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
509,509,429,Mismagius,Traunmagil,ムウマージ (Mumargi),4,Normal,Magical Pokémon,1,Ghost,,0.9,4.4,1,Levitate,,,495.0,60.0,60.0,60.0,105.0,105.0,105.0,45.0,35.0,173.0,Fast,1,Amorphous,,50.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
510,510,430,Honchkrow,Kramshef,ドンカラス (Dongkarasu),4,Normal,Big Boss Pokémon,2,Dark,Flying,0.9,27.3,3,Insomnia,Super Luck,Moxie,505.0,100.0,125.0,52.0,105.0,52.0,71.0,30.0,35.0,177.0,Medium Slow,1,Flying,,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0
511,511,431,Glameow,Charmian,ニャルマー (Nyarmar),4,Normal,Catty Pokémon,1,Normal,,0.5,3.9,3,Limber,Own Tempo,Keen Eye,310.0,49.0,55.0,42.0,42.0,37.0,85.0,190.0,70.0,62.0,Fast,1,Field,,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
512,512,432,Purugly,Shnurgarst,ブニャット (Bunyatto),4,Normal,Tiger Cat Pokémon,1,Normal,,1.0,43.8,3,Thick Fat,Own Tempo,Defiant,452.0,71.0,82.0,64.0,64.0,59.0,112.0,75.0,70.0,158.0,Fast,1,Field,,25.0,20.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
513,513,433,Chingling,Klingplim,リーシャン (Lisyan),4,Normal,Bell Pokémon,1,Psychic,,0.2,0.6,1,Levitate,,,285.0,45.0,30.0,50.0,65.0,50.0,45.0,120.0,70.0,57.0,Fast,1,Undiscovered,,50.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
514,514,434,Stunky,Skunkapuh,スカンプー (Skunpuu),4,Normal,Skunk Pokémon,2,Poison,Dark,0.4,19.2,3,Stench,Aftermath,Keen Eye,329.0,63.0,63.0,47.0,41.0,41.0,74.0,225.0,70.0,66.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
515,515,435,Skuntank,Skuntank,スカタンク (Skutank),4,Normal,Skunk Pokémon,2,Poison,Dark,1.0,38.0,3,Stench,Aftermath,Keen Eye,479.0,103.0,93.0,67.0,71.0,61.0,84.0,60.0,70.0,168.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
516,516,436,Bronzor,Bronzel,ドーミラー (Dohmirror),4,Normal,Bronze Pokémon,2,Steel,Psychic,0.5,60.5,3,Levitate,Heatproof,Heavy Metal,300.0,57.0,24.0,86.0,24.0,86.0,23.0,255.0,70.0,60.0,Medium Fast,1,Mineral,,,20.0,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5
517,517,437,Bronzong,Bronzong,ドータクン (Dohtakun),4,Normal,Bronze Bell Pokémon,2,Steel,Psychic,1.3,187.0,3,Levitate,Heatproof,Heavy Metal,500.0,67.0,89.0,116.0,79.0,116.0,33.0,90.0,70.0,175.0,Medium Fast,1,Mineral,,,20.0,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5
518,518,438,Bonsly,Mobai,ウソハチ (Usohachi),4,Normal,Bonsai Pokémon,1,Rock,,0.5,15.0,3,Sturdy,Rock Head,Rattled,290.0,50.0,80.0,95.0,10.0,45.0,10.0,255.0,70.0,58.0,Medium Fast,1,Undiscovered,,50.0,20.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
519,519,439,Mime Jr.,Pantimimi,マネネ (Manene),4,Normal,Mime Pokémon,2,Psychic,Fairy,0.6,13.0,3,Soundproof,Filter,Technician,310.0,20.0,25.0,45.0,70.0,90.0,60.0,145.0,70.0,62.0,Medium Fast,1,Undiscovered,,50.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
520,520,440,Happiny,Wonneira,ピンプク (Pinpuku),4,Normal,Playhouse Pokémon,1,Normal,,0.6,24.4,3,Natural Cure,Serene Grace,Friend Guard,220.0,100.0,5.0,5.0,15.0,65.0,30.0,130.0,140.0,110.0,Fast,1,Undiscovered,,0.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
521,521,441,Chatot,Plaudagei,ペラップ (Perap),4,Normal,Music Note Pokémon,2,Normal,Flying,0.5,1.9,3,Keen Eye,Tangled Feet,Big Pecks,411.0,76.0,65.0,45.0,92.0,42.0,91.0,30.0,35.0,144.0,Medium Slow,1,Flying,,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
522,522,442,Spiritomb,Kryppuk,ミカルゲ (Mikaruge),4,Normal,Forbidden Pokémon,2,Ghost,Dark,1.0,108.0,2,Pressure,,Infiltrator,485.0,50.0,92.0,108.0,92.0,108.0,35.0,100.0,70.0,170.0,Medium Fast,1,Amorphous,,50.0,30.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
523,523,443,Gible,Kaumalat,フカマル (Fukamaru),4,Normal,Land Shark Pokémon,2,Dragon,Ground,0.7,20.5,2,Sand Veil,,Rough Skin,300.0,58.0,70.0,45.0,40.0,45.0,42.0,45.0,70.0,60.0,Slow,2,Dragon,Monster,50.0,40.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
524,524,444,Gabite,Knarksel,ガバイト (Gabite),4,Normal,Cave Pokémon,2,Dragon,Ground,1.4,56.0,2,Sand Veil,,Rough Skin,410.0,68.0,90.0,65.0,50.0,55.0,82.0,45.0,70.0,144.0,Slow,2,Dragon,Monster,50.0,40.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
525,525,445,Garchomp,Knakrack,ガブリアス (Gaburias),4,Normal,Mach Pokémon,2,Dragon,Ground,1.9,95.0,2,Sand Veil,,Rough Skin,600.0,108.0,130.0,95.0,80.0,85.0,102.0,45.0,70.0,270.0,Slow,2,Dragon,Monster,50.0,40.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
527,527,446,Munchlax,Mampfaxo,ゴンベ (Gonbe),4,Normal,Big Eater Pokémon,1,Normal,,0.6,105.0,3,Pickup,Thick Fat,Gluttony,390.0,135.0,85.0,40.0,40.0,85.0,5.0,50.0,70.0,78.0,Slow,1,Undiscovered,,87.5,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
528,528,447,Riolu,Riolu,リオル (Riolu),4,Normal,Emanation Pokémon,1,Fighting,,0.7,20.2,3,Steadfast,Inner Focus,Prankster,285.0,40.0,70.0,40.0,35.0,40.0,60.0,75.0,70.0,57.0,Medium Slow,1,Undiscovered,,87.5,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
529,529,448,Lucario,Lucario,ルカリオ (Lucario),4,Normal,Aura Pokémon,2,Fighting,Steel,1.2,54.0,3,Steadfast,Inner Focus,Justified,525.0,70.0,110.0,70.0,115.0,70.0,90.0,45.0,70.0,184.0,Medium Slow,2,Field,Human-Like,87.5,25.0,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,1.0,1.0,0.25,0.25,1.0,0.5,0.5,0.5,1.0
531,531,449,Hippopotas,Hippopotas,ヒポポタス (Hippopotas),4,Normal,Hippo Pokémon,1,Ground,,0.8,49.5,2,Sand Stream,,Sand Force,330.0,68.0,72.0,78.0,38.0,42.0,32.0,140.0,70.0,66.0,Slow,1,Field,,50.0,30.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
532,532,450,Hippowdon,Hippoterus,カバルドン (Kabaldon),4,Normal,Heavyweight Pokémon,1,Ground,,2.0,300.0,2,Sand Stream,,Sand Force,525.0,108.0,112.0,118.0,68.0,72.0,47.0,60.0,70.0,184.0,Slow,1,Field,,50.0,30.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
533,533,451,Skorupi,Pionskora,スコルピ (Scorupi),4,Normal,Scorpion Pokémon,2,Poison,Bug,0.8,12.0,3,Battle Armor,Sniper,Keen Eye,330.0,40.0,50.0,90.0,30.0,55.0,65.0,120.0,70.0,66.0,Slow,2,Bug,Water 3,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
534,534,452,Drapion,Piondragi,ドラピオン (Dorapion),4,Normal,Ogre Scorp Pokémon,2,Poison,Dark,1.3,61.5,3,Battle Armor,Sniper,Keen Eye,500.0,70.0,90.0,110.0,60.0,75.0,95.0,45.0,70.0,175.0,Slow,2,Bug,Water 3,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
535,535,453,Croagunk,Glibunkel,グレッグル (Gureggru),4,Normal,Toxic Mouth Pokémon,2,Poison,Fighting,0.7,23.0,3,Anticipation,Dry Skin,Poison Touch,300.0,48.0,61.0,40.0,61.0,40.0,50.0,140.0,100.0,60.0,Medium Fast,1,Human-Like,,50.0,10.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,2.0,4.0,0.25,0.5,1.0,1.0,0.5,1.0,1.0
536,536,454,Toxicroak,Toxiquak,ドクロッグ (Dokurog),4,Normal,Toxic Mouth Pokémon,2,Poison,Fighting,1.3,44.4,3,Anticipation,Dry Skin,Poison Touch,490.0,83.0,106.0,65.0,86.0,65.0,85.0,75.0,70.0,172.0,Medium Fast,1,Human-Like,,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,2.0,4.0,0.25,0.5,1.0,1.0,0.5,1.0,1.0
537,537,455,Carnivine,Venuflibis,マスキッパ (Muskippa),4,Normal,Bug Catcher Pokémon,1,Grass,,1.4,27.0,1,Levitate,,,454.0,74.0,100.0,72.0,90.0,72.0,46.0,200.0,70.0,159.0,Slow,1,Grass,,50.0,25.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
538,538,456,Finneon,Finneon,ケイコウオ (Keikouo),4,Normal,Wing Fish Pokémon,1,Water,,0.4,7.0,3,Swift Swim,Storm Drain,Water Veil,330.0,49.0,49.0,56.0,49.0,61.0,66.0,190.0,70.0,66.0,Erratic,1,Water 2,,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
539,539,457,Lumineon,Lumineon,ネオラント (Neolant),4,Normal,Neon Pokémon,1,Water,,1.2,24.0,3,Swift Swim,Storm Drain,Water Veil,460.0,69.0,69.0,76.0,69.0,86.0,91.0,75.0,70.0,161.0,Erratic,1,Water 2,,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
540,540,458,Mantyke,Mantirps,タマンタ (Tamanta),4,Normal,Kite Pokémon,2,Water,Flying,1.0,65.0,3,Swift Swim,Water Absorb,Water Veil,345.0,45.0,20.0,50.0,60.0,120.0,50.0,25.0,70.0,69.0,Slow,1,Undiscovered,,50.0,25.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
541,541,459,Snover,Shnebedeck,ユキカブリ (Yukikaburi),4,Normal,Frost Tree Pokémon,2,Grass,Ice,1.0,50.5,2,Snow Warning,,Soundproof,334.0,60.0,62.0,50.0,62.0,60.0,40.0,120.0,70.0,67.0,Slow,2,Grass,Monster,50.0,20.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
542,542,460,Abomasnow,Rexblisar,ユキノオー (Yukinooh),4,Normal,Frost Tree Pokémon,2,Grass,Ice,2.2,135.5,2,Snow Warning,,Soundproof,494.0,90.0,92.0,75.0,92.0,85.0,60.0,60.0,70.0,173.0,Slow,2,Grass,Monster,50.0,20.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
544,544,461,Weavile,Snibunna,マニューラ (Manyula),4,Normal,Sharp Claw Pokémon,2,Dark,Ice,1.1,34.0,2,Pressure,,Pickpocket,510.0,70.0,120.0,65.0,45.0,85.0,125.0,45.0,35.0,179.0,Medium Slow,1,Field,,50.0,20.0,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0
545,545,462,Magnezone,Magnezone,ジバコイル (Jibacoil),4,Normal,Magnet Area Pokémon,2,Electric,Steel,1.2,180.0,3,Magnet Pull,Sturdy,Analytic,535.0,70.0,70.0,115.0,130.0,90.0,60.0,30.0,70.0,241.0,Medium Fast,1,Mineral,,,20.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
546,546,463,Lickilicky,Schlurplek,ベロベルト (Berobelt),4,Normal,Licking Pokémon,1,Normal,,1.7,140.0,3,Own Tempo,Oblivious,Cloud Nine,515.0,110.0,85.0,95.0,80.0,95.0,50.0,30.0,70.0,180.0,Medium Fast,1,Monster,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
547,547,464,Rhyperior,Rihornior,ドサイドン (Dosidon),4,Normal,Drill Pokémon,2,Ground,Rock,2.4,282.8,3,Lightning Rod,Solid Rock,Reckless,535.0,115.0,140.0,130.0,55.0,55.0,40.0,30.0,70.0,241.0,Slow,2,Field,Monster,50.0,20.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
548,548,465,Tangrowth,Tangoloss,モジャンボ (Mojumbo),4,Normal,Vine Pokémon,1,Grass,,2.0,128.6,3,Chlorophyll,Leaf Guard,Regenerator,535.0,100.0,100.0,125.0,110.0,50.0,50.0,30.0,70.0,187.0,Medium Fast,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
549,549,466,Electivire,Elevoltek,エレキブル (Elekible),4,Normal,Thunderbolt Pokémon,1,Electric,,1.8,138.6,2,Motor Drive,,Vital Spirit,540.0,75.0,123.0,67.0,95.0,85.0,95.0,30.0,70.0,243.0,Medium Fast,1,Human-Like,,75.0,25.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
550,550,467,Magmortar,Magbrant,ブーバーン (Booburn),4,Normal,Blast Pokémon,1,Fire,,1.6,68.0,2,Flame Body,,Vital Spirit,540.0,75.0,95.0,67.0,125.0,95.0,83.0,30.0,70.0,243.0,Medium Fast,1,Human-Like,,75.0,25.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
551,551,468,Togekiss,Togekiss,トゲキッス (Togekiss),4,Normal,Jubilee Pokémon,2,Fairy,Flying,1.5,38.0,3,Hustle,Serene Grace,Super Luck,545.0,85.0,50.0,95.0,120.0,115.0,80.0,30.0,70.0,245.0,Fast,2,Fairy,Flying,87.5,10.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0
552,552,469,Yanmega,Yanmega,メガヤンマ (Megayanma),4,Normal,Ogre Darner Pokémon,2,Bug,Flying,1.9,51.5,3,Speed Boost,Tinted Lens,Frisk,515.0,86.0,76.0,86.0,116.0,56.0,95.0,30.0,70.0,180.0,Medium Fast,1,Bug,,50.0,20.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
553,553,470,Leafeon,Folipurba,リーフィア (Leafia),4,Normal,Verdant Pokémon,1,Grass,,1.0,25.5,2,Leaf Guard,,Chlorophyll,525.0,65.0,110.0,130.0,60.0,65.0,95.0,45.0,35.0,184.0,Medium Fast,1,Field,,87.5,35.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
554,554,471,Glaceon,Glaziola,グレイシア (Glacia),4,Normal,Fresh Snow Pokémon,1,Ice,,0.8,25.9,2,Snow Cloak,,Ice Body,525.0,65.0,60.0,110.0,130.0,95.0,65.0,45.0,35.0,184.0,Medium Fast,1,Field,,87.5,35.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
555,555,472,Gliscor,Skorgro,グライオン (Glion),4,Normal,Fang Scorp Pokémon,2,Ground,Flying,2.0,42.5,3,Hyper Cutter,Sand Veil,Poison Heal,510.0,75.0,95.0,125.0,45.0,75.0,95.0,30.0,70.0,179.0,Medium Slow,1,Bug,,50.0,20.0,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
556,556,473,Mamoswine,Mamutel,マンムー (Mammoo),4,Normal,Twin Tusk Pokémon,2,Ice,Ground,2.5,291.0,3,Oblivious,Snow Cloak,Thick Fat,530.0,110.0,130.0,80.0,70.0,60.0,80.0,50.0,70.0,239.0,Slow,1,Field,,50.0,20.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
557,557,474,Porygon-Z,Porygon-Z,ポリゴンＺ (Porygon-Z),4,Normal,Virtual Pokémon,1,Normal,,0.9,34.0,3,Adaptability,Download,Analytic,535.0,85.0,80.0,70.0,135.0,75.0,90.0,30.0,70.0,241.0,Medium Fast,1,Mineral,,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
558,558,475,Gallade,Galagladi,エルレイド (Erureido),4,Normal,Blade Pokémon,2,Psychic,Fighting,1.6,52.0,2,Steadfast,,Justified,518.0,68.0,125.0,65.0,65.0,115.0,80.0,45.0,35.0,233.0,Slow,2,Amorphous,Human-Like,100.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0
560,560,476,Probopass,Voluminas,ダイノーズ (Dainose),4,Normal,Compass Pokémon,2,Rock,Steel,1.4,340.0,3,Sturdy,Magnet Pull,Sand Force,525.0,60.0,55.0,145.0,75.0,150.0,40.0,60.0,70.0,184.0,Medium Fast,1,Mineral,,50.0,20.0,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5
561,561,477,Dusknoir,Zwirrfinst,ヨノワール (Yonoir),4,Normal,Gripper Pokémon,1,Ghost,,2.2,106.6,2,Pressure,,Frisk,525.0,45.0,100.0,135.0,65.0,135.0,45.0,45.0,35.0,236.0,Fast,1,Amorphous,,50.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
562,562,478,Froslass,Frosdedje,ユキメノコ (Yukimenoko),4,Normal,Snow Land Pokémon,2,Ice,Ghost,1.3,26.6,2,Snow Cloak,,Cursed Body,480.0,70.0,80.0,70.0,80.0,70.0,110.0,75.0,70.0,168.0,Medium Fast,2,Fairy,Mineral,0.0,20.0,0.0,2.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0
563,563,479,Rotom,Rotom,ロトム (Rotom),4,Normal,Plasma Pokémon,2,Electric,Ghost,0.3,0.3,1,Levitate,,,440.0,50.0,50.0,77.0,95.0,77.0,91.0,45.0,70.0,154.0,Medium Fast,1,Amorphous,,,20.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.5,1.0,0.5,1.0,2.0,1.0,2.0,0.5,1.0
564,564,479,Heat Rotom,Rotom,ロトム (Rotom),4,Normal,Plasma Pokémon,2,Electric,Fire,0.3,0.3,1,Levitate,,,520.0,50.0,65.0,107.0,105.0,107.0,86.0,45.0,70.0,182.0,Medium Fast,1,Amorphous,,,20.0,1.0,0.5,2.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.25,0.5
565,565,479,Wash Rotom,Rotom,ロトム (Rotom),4,Normal,Plasma Pokémon,2,Electric,Water,0.3,0.3,1,Levitate,,,520.0,50.0,65.0,107.0,105.0,107.0,86.0,45.0,70.0,182.0,Medium Fast,1,Amorphous,,,20.0,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
566,566,479,Frost Rotom,Rotom,ロトム (Rotom),4,Normal,Plasma Pokémon,2,Electric,Ice,0.3,0.3,1,Levitate,,,520.0,50.0,65.0,107.0,105.0,107.0,86.0,45.0,70.0,182.0,Medium Fast,1,Amorphous,,,20.0,1.0,2.0,1.0,0.5,1.0,0.5,2.0,1.0,0.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
567,567,479,Fan Rotom,Rotom,ロトム (Rotom),4,Normal,Plasma Pokémon,2,Electric,Flying,0.3,0.3,1,Levitate,,,520.0,50.0,65.0,107.0,105.0,107.0,86.0,45.0,70.0,182.0,Medium Fast,1,Amorphous,,,20.0,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
568,568,479,Mow Rotom,Rotom,ロトム (Rotom),4,Normal,Plasma Pokémon,2,Electric,Grass,0.3,0.3,1,Levitate,,,520.0,50.0,65.0,107.0,105.0,107.0,86.0,45.0,70.0,182.0,Medium Fast,1,Amorphous,,,20.0,1.0,2.0,0.5,0.25,0.5,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
586,586,495,Snivy,Serpifeu,ツタージャ (Tsutarja),5,Normal,Grass Snake Pokémon,1,Grass,,0.6,8.1,2,Overgrow,,Contrary,308.0,45.0,45.0,55.0,45.0,55.0,63.0,45.0,70.0,62.0,Medium Slow,2,Field,Grass,87.5,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
587,587,496,Servine,Efoserp,ジャノビー (Janovy),5,Normal,Grass Snake Pokémon,1,Grass,,0.8,16.0,2,Overgrow,,Contrary,413.0,60.0,60.0,75.0,60.0,75.0,83.0,45.0,70.0,145.0,Medium Slow,2,Field,Grass,87.5,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
